rsi_period,rsi_oversold,rsi_overbought,bb_period,bb_std_dev,ema_fast_period,ema_slow_period,stop_loss_pct,take_profit_pct,position_size_level1,position_size_level2,position_size_level3
18,20,79,29,1.5,8,20,0.012,0.018,0.55,0.28,0.17
18,20,79,29,1.5,8,20,0.012,0.02,0.55,0.28,0.17
18,20,79,29,1.5,8,20,0.012,0.022,0.55,0.28,0.17
18,20,79,29,1.5,8,20,0.015,0.018,0.55,0.28,0.17
18,20,79,29,1.5,8,20,0.015,0.02,0.55,0.28,0.17
18,20,79,29,1.5,8,20,0.015,0.022,0.55,0.28,0.17
18,20,79,29,1.5,8,20,0.018,0.02,0.55,0.28,0.17
18,20,79,29,1.5,8,20,0.018,0.022,0.55,0.28,0.17
18,20,79,29,1.5,8,20,0.012,0.018,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.012,0.02,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.012,0.022,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.015,0.018,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.015,0.02,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.015,0.022,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.018,0.02,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.018,0.022,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.012,0.018,0.65,0.22,0.13
18,20,79,29,1.5,8,20,0.012,0.02,0.65,0.22,0.13
18,20,79,29,1.5,8,20,0.012,0.022,0.65,0.22,0.13
18,20,79,29,1.5,8,20,0.015,0.018,0.65,0.22,0.13
18,20,79,29,1.5,8,20,0.015,0.02,0.65,0.22,0.13
18,20,79,29,1.5,8,20,0.015,0.022,0.65,0.22,0.13
18,20,79,29,1.5,8,20,0.018,0.02,0.65,0.22,0.13
18,20,79,29,1.5,8,20,0.018,0.022,0.65,0.22,0.13
18,18,79,29,1.5,8,20,0.015,0.02,0.6,0.25,0.15
18,22,79,29,1.5,8,20,0.015,0.02,0.6,0.25,0.15
18,20,77,29,1.5,8,20,0.015,0.02,0.6,0.25,0.15
18,20,81,29,1.5,8,20,0.015,0.02,0.6,0.25,0.15
18,20,79,27,1.5,8,20,0.015,0.02,0.6,0.25,0.15
18,20,79,31,1.5,8,20,0.015,0.02,0.6,0.25,0.15
18,20,79,29,1.3,8,20,0.015,0.02,0.6,0.25,0.15
18,20,79,29,1.7,8,20,0.015,0.02,0.6,0.25,0.15
