zscore_lookback,entry_zscore,exit_zscore,stop_zscore,position_size,stop_loss_pct,trailing_activation_pct,trailing_stop_pct,exit_confirmation_bars,enable_partial_exit,partial_exit_pct,partial_exit_fraction,notes
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"baseline Phase 1 defaults"
50,1.5,0.3,3.0,0.5,0.02,0.008,0.005,2,true,0.008,0.5,"lower trailing activation 0.8%"
50,1.5,0.3,3.0,0.5,0.02,0.012,0.005,2,true,0.008,0.5,"higher trailing activation 1.2%"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.003,2,true,0.008,0.5,"tight trail width 0.3%"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.007,2,true,0.008,0.5,"wide trail width 0.7%"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,1,true,0.008,0.5,"exit confirm 1 bar"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,3,true,0.008,0.5,"exit confirm 3 bars"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,false,0.008,0.5,"partial exit OFF"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.006,0.5,"early partial at 0.6%"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.01,0.5,"late partial at 1.0%"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.3,"small partial fraction 30%"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.7,"large partial fraction 70%"
50,1.5,0.3,3.0,0.5,0.015,0.01,0.005,2,true,0.008,0.5,"tighter stop 1.5%"
50,1.5,0.3,3.0,0.5,0.025,0.01,0.005,2,true,0.008,0.5,"wider stop 2.5%"
50,1.5,0.3,3.0,0.5,0.02,0.008,0.003,2,true,0.008,0.5,"combo: low activate + tight trail"
50,1.5,0.3,3.0,0.5,0.02,0.012,0.007,2,true,0.008,0.5,"combo: high activate + wide trail"
50,1.5,0.3,3.0,0.5,0.02,0.008,0.003,1,true,0.006,0.5,"aggressive: fast confirm, early partial"
50,1.5,0.3,3.0,0.5,0.02,0.012,0.007,3,true,0.01,0.5,"conservative: slow confirm, late partial"
50,1.5,0.3,3.0,0.5,0.015,0.008,0.003,2,true,0.008,0.5,"tight stop + tight trail"
50,1.5,0.3,3.0,0.5,0.015,0.01,0.005,1,true,0.008,0.5,"tight stop + fast confirm"
50,1.5,0.3,3.0,0.5,0.02,999,999,0,false,999,0.5,"CONTROL: no trailing, no partial, no confirm"
50,1.5,0.3,3.0,0.5,0.03,999,999,0,false,999,0.5,"CONTROL: v3 original (3% stop, no Phase 1)"
50,1.5,0.3,3.0,0.5,0.03,0.01,0.005,2,true,0.008,0.5,"v3 stop 3% WITH Phase 1 (measure Phase 1 impact)"
45,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"lookback=45 with Phase 1"
55,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"lookback=55 with Phase 1"
40,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"lookback=40 with Phase 1"
60,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"lookback=60 with Phase 1"
48,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"lookback=48 with Phase 1"
52,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"lookback=52 with Phase 1"
50,1.4,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"entry=1.4 with Phase 1"
50,1.6,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"entry=1.6 with Phase 1"
50,1.3,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"entry=1.3 with Phase 1"
50,1.7,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"entry=1.7 with Phase 1"
50,1.45,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"entry=1.45 with Phase 1"
50,1.55,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"entry=1.55 with Phase 1"
50,1.5,0.2,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"exit_z=0.2 with Phase 1"
50,1.5,0.4,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"exit_z=0.4 with Phase 1"
50,1.5,0.5,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"exit_z=0.5 with Phase 1"
50,1.5,0.15,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"exit_z=0.15 with Phase 1"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,0,true,0.008,0.5,"exit confirm 0 (no confirmation)"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,4,true,0.008,0.5,"exit confirm 4 bars"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,5,true,0.008,0.5,"exit confirm 5 bars"
50,1.5,0.3,3.0,0.5,0.02,0.015,0.005,2,true,0.008,0.5,"trailing activation 1.5%"
50,1.5,0.3,3.0,0.5,0.02,0.006,0.003,2,true,0.008,0.5,"low activate 0.6% + tight trail"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.004,2,true,0.008,0.5,"trail width 0.4%"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.006,2,true,0.008,0.5,"trail width 0.6%"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.008,2,true,0.008,0.5,"trail width 0.8%"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.01,2,true,0.008,0.5,"trail width 1.0% (wide)"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.005,0.5,"partial at 0.5%"
